zaman_s,irtifa_m,olay
0.00,0,
0.05,0,
0.10,0,
0.15,0,
0.20,0,
0.25,0,
0.30,0,
0.35,0,
0.40,0,
0.45,0,
0.50,0,
0.55,0,
0.60,0,
0.65,0,
0.70,0,
0.75,0,
0.80,0,
0.85,0,
0.90,0,
0.95,0,
1.00,0,
1.05,0,
1.10,0,
1.15,0,
1.20,0,
1.25,0,
1.30,0,
1.35,0,
1.40,0,
1.45,0,
1.50,0,
1.55,0,
1.60,0,
1.65,0,
1.70,0,
1.75,0,
1.80,0,
1.85,0,
1.90,0,
1.95,0,
2.00,0,
2.05,0,
2.10,0,
2.15,0,
2.20,0,
2.25,0,
2.30,0,
2.35,0,
2.40,0,
2.45,0,
2.50,0,
2.55,0,
2.60,0,
2.65,0,
2.70,0,
2.75,0,
2.80,0,
2.85,0,
2.90,0,
2.95,0,
3.00,0,
3.05,0,
3.10,0,
3.15,0,
3.20,0,
3.25,0,
3.30,0,
3.35,0,
3.40,0,
3.45,2,
3.50,6,
3.55,10,
3.60,16,
3.65,22,
3.70,28,
3.75,35,
3.80,43,
3.85,51,
3.90,59,
3.95,68,
4.00,77,
4.05,86,
4.10,94,
4.15,102,
4.20,111,
4.25,120,
4.30,129,
4.35,138,
4.40,148,
4.45,157,
4.50,165,
4.55,174,
4.60,182,
4.65,191,
4.70,200,
4.75,209,
4.80,218,
4.85,227,
4.90,236,
4.95,244,
5.00,253,
5.05,261,
5.10,270,
5.15,279,
5.20,288,
5.25,297,
5.30,305,
5.35,314,
5.40,322,
5.45,330,
5.50,338,
5.55,347,
5.60,356,
5.65,364,
5.70,373,
5.75,382,
5.80,390,
5.85,398,
5.90,406,
5.95,414,
6.00,422,
6.05,431,
6.10,439,
6.15,448,
6.20,456,
6.25,464,
6.30,472,
6.35,480,
6.40,488,
6.45,496,
6.50,504,
6.55,512,
6.60,521,
6.65,529,
6.70,536,
6.75,544,
6.80,551,
6.85,559,
6.90,567,
6.95,576,
7.00,584,
7.05,592,
7.10,599,
7.15,607,
7.20,614,
7.25,621,
7.30,629,
7.35,637,
7.40,646,
7.45,653,
7.50,661,
7.55,668,
7.60,676,
7.65,683,
7.70,690,
7.75,698,
7.80,706,
7.85,713,
7.90,721,
7.95,729,
8.00,736,
8.05,743,
8.10,750,
8.15,757,
8.20,764,
8.25,772,
8.30,780,
8.35,787,
8.40,794,
8.45,801,
8.50,808,
8.55,815,
8.60,822,
8.65,829,
8.70,837,
8.75,844,
8.80,851,
8.85,858,
8.90,865,
8.95,872,
9.00,878,
9.05,885,
9.10,893,
9.15,900,
9.20,907,
9.25,914,
9.30,921,
9.35,927,
9.40,934,
9.45,940,
9.50,947,
9.55,955,
9.60,962,
9.65,969,
9.70,975,
9.75,982,
9.80,988,
9.85,994,
9.90,1001,
9.95,1008,
10.00,1015,
10.05,1022,
10.10,1029,
10.15,1035,
10.20,1041,
10.25,1047,
10.30,1054,
10.35,1060,
10.40,1067,
10.45,1074,
10.50,1080,
10.55,1087,
10.60,1093,
10.65,1099,
10.70,1105,
10.75,1111,
10.80,1118,
10.85,1124,
10.90,1131,
10.95,1138,
11.00,1144,
11.05,1150,
11.10,1156,
11.15,1161,
11.20,1167,
11.25,1174,
11.30,1180,
11.35,1187,
11.40,1193,
11.45,1199,
11.50,1205,
11.55,1210,
11.60,1216,
11.65,1222,
11.70,1228,
11.75,1234,
11.80,1241,
11.85,1247,
11.90,1253,
11.95,1258,
12.00,1263,
12.05,1269,
12.10,1275,
12.15,1281,
12.20,1288,
12.25,1294,
12.30,1300,
12.35,1305,
12.40,1310,
12.45,1316,
12.50,1321,
12.55,1327,
12.60,1333,
12.65,1339,
12.70,1345,
12.75,1351,
12.80,1356,
12.85,1361,
12.90,1366,
12.95,1372,
13.00,1378,
13.05,1384,
13.10,1390,
13.15,1395,
13.20,1400,
13.25,1406,
13.30,1410,
13.35,1416,
13.40,1421,
13.45,1427,
13.50,1433,
13.55,1438,
13.60,1444,
13.65,1449,
13.70,1454,
13.75,1458,
13.80,1464,
13.85,1470,
13.90,1475,
13.95,1481,
14.00,1486,
14.05,1491,
14.10,1496,
14.15,1500,
14.20,1505,
14.25,1511,
14.30,1516,
14.35,1521,
14.40,1527,
14.45,1532,
14.50,1537,
14.55,1542,
14.60,1546,
14.65,1551,
14.70,1556,
14.75,1561,
14.80,1567,
14.85,1572,
14.90,1577,
14.95,1582,
15.00,1587,
15.05,1591,
15.10,1596,
15.15,1601,
15.20,1606,
15.25,1611,
15.30,1616,
15.35,1621,
15.40,1626,
15.45,1630,
15.50,1634,
15.55,1639,
15.60,1644,
15.65,1649,
15.70,1654,
15.75,1659,
15.80,1664,
15.85,1668,
15.90,1672,
15.95,1676,
16.00,1681,
16.05,1686,
16.10,1691,
16.15,1696,
16.20,1701,
16.25,1705,
16.30,1709,
16.35,1713,
16.40,1718,
16.45,1722,
16.50,1727,
16.55,1732,
16.60,1737,
16.65,1741,
16.70,1745,
16.75,1749,
16.80,1753,
16.85,1758,
16.90,1762,
16.95,1767,
17.00,1772,
17.05,1776,
17.10,1780,
17.15,1784,
17.20,1788,
17.25,1792,
17.30,1796,
17.35,1801,
17.40,1806,
17.45,1810,
17.50,1814,
17.55,1819,
17.60,1822,
17.65,1826,
17.70,1830,
17.75,1834,
17.80,1839,
17.85,1843,
17.90,1847,
17.95,1852,
18.00,1856,
18.05,1859,
18.10,1863,
18.15,1867,
18.20,1871,
18.25,1875,
18.30,1880,
18.35,1884,
18.40,1888,
18.45,1891,
18.50,1895,
18.55,1899,
18.60,1903,
18.65,1907,
18.70,1911,
18.75,1915,
18.80,1920,
18.85,1923,
18.90,1927,
18.95,1930,
19.00,1934,
19.05,1937,
19.10,1942,
19.15,1946,
19.20,1950,
19.25,1954,
19.30,1957,
19.35,1961,
19.40,1964,
19.45,1968,
19.50,1972,
19.55,1976,
19.60,1980,
19.65,1984,
19.70,1987,
19.75,1991,
19.80,1994,
19.85,1997,
19.90,2001,
19.95,2005,
20.00,2009,
20.05,2013,
20.10,2017,
20.15,2020,
20.20,2023,
20.25,2026,
20.30,2030,
20.35,2033,
20.40,2037,
20.45,2041,
20.50,2045,
20.55,2048,
20.60,2051,
20.65,2054,
20.70,2058,
20.75,2061,
20.80,2064,
20.85,2068,
20.90,2072,
20.95,2076,
21.00,2079,
21.05,2082,
21.10,2085,
21.15,2088,
21.20,2091,
21.25,2095,
21.30,2099,
21.35,2102,
21.40,2105,
21.45,2109,
21.50,2112,
21.55,2114,
21.60,2117,
21.65,2121,
21.70,2124,
21.75,2128,
21.80,2131,
21.85,2135,
21.90,2138,
21.95,2140,
22.00,2143,
22.05,2146,
22.10,2149,
22.15,2153,
22.20,2157,
22.25,2160,
22.30,2163,
22.35,2166,
22.40,2168,
22.45,2171,
22.50,2174,
22.55,2177,
22.60,2181,
22.65,2184,
22.70,2188,
22.75,2190,
22.80,2193,
22.85,2196,
22.90,2198,
22.95,2201,
23.00,2204,
23.05,2208,
23.10,2211,
23.15,2214,
23.20,2217,
23.25,2220,
23.30,2222,
23.35,2225,
23.40,2228,
23.45,2231,
23.50,2234,
23.55,2237,
23.60,2240,
23.65,2243,
23.70,2245,
23.75,2248,
23.80,2250,
23.85,2254,
23.90,2257,
23.95,2260,
24.00,2263,
24.05,2266,
24.10,2268,
24.15,2270,
24.20,2273,
24.25,2276,
24.30,2278,
24.35,2281,
24.40,2285,
24.45,2288,
24.50,2290,
24.55,2292,
24.60,2295,
24.65,2297,
24.70,2300,
24.75,2303,
24.80,2306,
24.85,2309,
24.90,2312,
24.95,2314,
25.00,2316,
25.05,2319,
25.10,2321,
25.15,2324,
25.20,2327,
25.25,2330,
25.30,2332,
25.35,2335,
25.40,2337,
25.45,2339,
25.50,2341,
25.55,2344,
25.60,2347,
25.65,2350,
25.70,2352,
25.75,2355,
25.80,2358,
25.85,2359,
25.90,2361,
25.95,2364,
26.00,2366,
26.05,2369,
26.10,2372,
26.15,2375,
26.20,2377,
26.25,2379,
26.30,2381,
26.35,2383,
26.40,2385,
26.45,2388,
26.50,2391,
26.55,2394,
26.60,2396,
26.65,2398,
26.70,2400,
26.75,2402,
26.80,2404,
26.85,2407,
26.90,2409,
26.95,2412,
27.00,2415,
27.05,2417,
27.10,2419,
27.15,2421,
27.20,2423,
27.25,2425,
27.30,2427,
27.35,2429,
27.40,2432,
27.45,2435,
27.50,2437,
27.55,2439,
27.60,2441,
27.65,2442,
27.70,2444,
27.75,2447,
27.80,2449,
27.85,2452,
27.90,2454,
27.95,2457,
28.00,2459,
28.05,2460,
28.10,2462,
28.15,2464,
28.20,2466,
28.25,2469,
28.30,2471,
28.35,2474,
28.40,2476,
28.45,2477,
28.50,2479,
28.55,2481,
28.60,2483,
28.65,2485,
28.70,2487,
28.75,2490,
28.80,2492,
28.85,2494,
28.90,2495,
28.95,2497,
29.00,2499,
29.05,2500,
29.10,2503,
29.15,2506,
29.20,2508,
29.25,2510,
29.30,2512,
29.35,2513,
29.40,2515,
29.45,2516,
29.50,2519,
29.55,2521,
29.60,2523,
29.65,2525,
29.70,2527,
29.75,2529,
29.80,2530,
29.85,2532,
29.90,2534,
29.95,2536,
30.00,2538,
30.05,2540,
30.10,2542,
30.15,2544,
30.20,2545,
30.25,2547,
30.30,2548,
30.35,2550,
30.40,2552,
30.45,2555,
30.50,2557,
30.55,2559,
30.60,2560,
30.65,2562,
30.70,2563,
30.75,2565,
30.80,2567,
