t_ms,basinc_pa,sicaklik_c,ax_g,ay_g,az_g,durum
0,101248,22.97,0.01,-0.01,0.98,0
40,101245,23.01,-0.00,0.01,1.00,0
80,101251,23.02,-0.00,0.01,0.99,0
120,101250,23.05,0.00,-0.01,1.01,0
160,101253,23.00,-0.01,0.01,1.01,0
200,101246,23.00,0.00,0.01,0.99,0
240,101248,23.01,-0.00,0.01,0.98,0
280,101248,22.98,-0.00,-0.01,0.97,0
320,101249,22.87,-0.00,-0.00,0.99,0
360,101248,23.08,0.03,0.01,0.99,0
400,101249,23.03,-0.01,0.01,1.00,0
440,101250,23.04,0.01,-0.00,1.01,0
480,101253,22.97,0.01,0.01,0.99,0
520,101247,22.90,-0.01,0.02,1.00,0
560,101252,22.95,-0.00,0.01,1.01,0
600,101250,23.08,0.00,0.00,1.00,0
640,101252,22.99,0.00,-0.02,1.02,0
680,101249,23.01,-0.01,-0.01,0.99,0
720,101250,23.00,-0.01,-0.01,1.01,0
760,101255,22.95,-0.01,0.00,0.99,0
800,101252,23.00,-0.01,0.00,1.01,0
840,101245,23.08,0.01,-0.00,1.00,0
880,101249,22.95,0.01,-0.00,0.99,0
920,101252,22.95,0.01,-0.01,1.02,0
960,101246,22.97,0.00,0.01,1.01,0
1000,101250,23.04,-0.02,-0.00,0.99,0
1040,101250,23.06,0.00,-0.02,0.98,0
1080,101253,22.99,-0.01,0.00,1.02,0
1120,101250,23.01,0.01,-0.01,1.00,0
1160,101254,23.03,-0.01,-0.02,1.02,0
1200,101252,22.96,-0.00,0.00,1.02,0
1240,101248,22.94,0.00,0.01,1.03,0
1280,101247,22.94,0.01,-0.01,1.01,0
1320,101245,23.05,0.02,0.01,0.99,0
1360,101255,23.01,0.03,0.01,1.00,0
1400,101252,23.04,0.02,-0.00,0.98,0
1440,101251,23.02,0.00,-0.01,1.01,0
1480,101255,23.00,-0.01,-0.01,1.03,0
1520,101250,23.04,-0.03,-0.00,1.03,0
1560,101256,22.98,0.01,0.00,1.00,0
1600,101256,22.98,0.01,0.01,1.00,0
1640,101245,23.04,0.01,-0.01,0.99,0
1680,101255,23.03,0.01,0.01,0.98,0
1720,101248,23.03,-0.00,-0.03,1.00,0
1760,101246,23.03,-0.00,0.01,0.99,0
1800,101251,23.06,0.00,0.00,1.02,0
1840,101247,22.99,-0.01,0.00,0.98,0
1880,101248,23.09,-0.00,-0.00,0.99,0
1920,101254,23.10,-0.01,-0.02,1.03,0
1960,101248,22.99,0.00,0.00,1.01,0
2000,101248,23.06,-0.01,-0.01,0.99,0
2040,101243,22.95,0.01,0.01,1.01,0
2080,101248,23.03,0.01,-0.01,0.99,0
2120,101250,22.94,-0.01,-0.01,1.02,0
2160,101255,23.05,0.00,0.00,0.99,0
2200,101252,22.93,-0.00,0.01,1.01,0
2240,101250,23.02,-0.00,-0.01,0.98,0
2280,101252,23.06,0.00,0.01,1.03,0
2320,101260,22.99,-0.01,-0.02,0.99,0
2360,101253,22.98,-0.01,0.00,1.01,0
2400,101252,22.96,-0.01,0.01,1.00,0
2440,101249,22.88,0.00,-0.01,0.99,0
2480,101252,22.98,-0.00,-0.00,1.01,0
2520,101248,23.07,-0.01,-0.00,0.98,0
2560,101255,22.99,-0.00,0.00,1.02,0
