t_ms,basinc_pa,sicaklik_c,ax_g,ay_g,az_g,durum
0,101247,22.97,-0.01,0.01,1.02,0
40,101251,23.10,-0.01,0.02,1.00,0
80,101249,23.07,0.00,0.01,0.99,0
120,101251,23.00,0.03,0.01,1.01,0
160,101247,22.97,-0.00,-0.00,0.99,0
200,101251,22.94,-0.01,-0.01,1.00,0
240,101254,23.02,-0.02,0.00,1.01,0
280,101249,22.88,-0.01,-0.01,0.98,0
320,101253,22.91,-0.00,-0.00,1.02,0
360,101251,23.07,-0.01,-0.00,0.97,0
400,101254,22.97,0.00,0.00,0.98,0
440,101252,22.95,-0.01,0.00,1.00,0
480,101252,22.99,0.00,0.01,1.01,0
520,101244,22.98,-0.00,-0.01,1.00,0
560,101246,22.99,-0.02,0.02,1.02,0
600,101248,23.04,-0.01,0.01,1.03,0
640,101251,23.06,-0.01,0.01,0.99,0
680,101247,23.07,-0.01,-0.00,1.01,0
720,101245,22.89,-0.01,-0.00,1.01,0
760,101245,23.06,0.01,0.00,0.99,0
800,101247,23.01,-0.00,0.01,1.00,0
840,101252,22.98,-0.01,0.00,1.01,0
880,101249,22.94,-0.00,-0.01,1.02,0
920,101250,22.96,-0.00,0.00,0.98,0
960,101254,22.97,0.01,-0.01,0.96,0
1000,101248,23.12,-0.01,-0.00,1.00,0
1040,101247,22.88,-0.00,-0.00,1.00,0
1080,101251,23.06,0.03,-0.00,1.00,0
1120,101251,23.00,0.01,0.00,1.02,0
1160,101253,22.99,-0.01,0.01,0.99,0
1200,101254,23.03,0.00,-0.00,1.00,0
1240,101243,23.02,0.01,0.01,0.99,0
1280,101249,23.07,-0.02,0.01,1.01,0
1320,101247,23.08,-0.01,0.02,0.97,0
1360,101249,23.06,-0.00,-0.01,1.00,0
1400,101253,23.01,-0.01,-0.00,0.99,0
1440,101254,22.98,-0.02,-0.00,1.01,0
1480,101253,23.09,0.00,0.00,0.99,0
1520,101246,22.96,0.00,-0.00,1.01,0
1560,101238,22.99,-0.00,0.01,1.02,0
1600,101253,22.99,0.00,-0.00,1.02,0
1640,101253,23.00,0.01,0.01,1.00,0
1680,101245,22.98,-0.00,-0.01,1.02,0
1720,101250,23.09,-0.01,0.01,0.98,0
1760,101248,23.03,-0.00,0.02,1.00,0
1800,101249,23.02,0.01,-0.01,1.00,0
1840,101245,23.06,0.01,0.00,1.00,0
1880,101249,23.06,0.00,0.01,0.99,0
1920,101249,22.99,-0.00,-0.00,0.98,0
1960,101254,22.96,0.02,-0.00,1.02,0
2000,101256,22.93,-0.01,-0.01,0.99,0
2040,101247,23.00,0.02,-0.02,0.98,0
2080,101253,22.98,-0.01,-0.00,0.99,0
2120,101253,23.07,0.01,0.00,0.99,0
2160,101248,23.01,-0.00,-0.00,1.01,0
2200,101249,22.92,0.00,-0.01,1.00,0
2240,101254,23.02,-0.01,0.02,0.96,0
2280,101250,22.93,-0.01,-0.01,1.00,0
2320,101255,22.98,0.02,0.01,0.99,0
2360,101257,22.97,0.00,0.00,1.01,0
2400,101251,22.99,0.01,0.02,1.01,0
2440,101244,23.00,-0.01,0.00,1.00,0
2480,101247,22.94,-0.00,-0.02,0.98,0
2520,101252,22.99,0.00,0.00,1.02,0
2560,101247,22.98,0.00,0.00,0.99,0
2600,101252,22.99,0.01,0.00,1.01,0
2640,101254,23.07,0.00,0.01,0.97,0
2680,101251,22.95,-0.00,-0.00,0.99,0
2720,101255,22.99,-0.01,0.02,1.01,0
2760,101256,23.01,-0.00,-0.01,1.02,0
2800,101249,23.03,0.00,-0.01,0.98,0
2840,101253,23.14,0.01,0.01,1.00,0
2880,101250,23.04,0.02,-0.01,1.02,0
2920,101250,23.04,0.01,0.02,0.97,0
2960,101256,23.11,0.00,0.02,1.01,0
3000,101250,23.06,-0.00,0.01,1.01,0
3040,101252,22.96,-0.01,-0.01,1.00,0
3080,101253,22.97,0.00,-0.01,0.99,0
3120,101249,22.98,-0.01,0.02,0.99,0
3160,101250,23.01,0.01,0.02,0.99,0
3200,0,23.01,-0.01,0.01,0.99,0
3240,101250,23.05,0.00,0.01,1.00,0
3280,101249,22.99,0.00,-0.01,1.01,0
3320,101255,22.98,0.00,0.00,1.00,0
3360,101245,23.05,0.00,-0.00,1.00,0
3400,101254,22.92,0.00,-0.00,1.01,0
3440,101252,22.99,-0.00,-0.02,1.04,0
3480,101246,23.07,-0.01,-0.01,1.03,0
3520,101252,23.05,-0.01,0.01,1.01,0
3560,101246,23.02,-0.01,-0.00,0.98,0
3600,101252,22.95,0.01,-0.01,0.98,0
3640,101247,22.90,0.01,0.00,1.00,0
3680,101247,22.96,0.00,0.01,1.01,0
3720,101249,23.08,-0.01,-0.00,1.01,0
3760,101246,22.96,-0.01,0.00,1.01,0
3800,101246,22.96,0.01,0.01,1.00,0
3840,101257,23.03,0.01,0.01,0.97,0
3880,101250,23.07,-0.00,-0.00,1.00,0
3920,101249,22.96,-0.00,-0.01,1.02,0
3960,101250,23.00,0.01,-0.01,1.02,0
4000,101247,23.04,-0.00,0.01,0.98,0
4040,101248,23.04,-0.02,-0.01,1.01,0
4080,101250,22.94,-0.00,-0.00,1.00,0
4120,101253,23.02,-0.02,0.01,0.99,0
4160,101249,22.99,-0.01,-0.00,1.01,0
4200,101250,22.98,-0.01,-0.00,1.01,0
4240,101250,23.03,-0.01,-0.00,1.01,0
4280,101249,22.98,0.00,-0.02,1.00,0
4320,101250,23.04,0.01,0.01,0.99,0
4360,101250,22.90,-0.02,-0.01,1.01,0
4400,101251,23.08,0.01,0.00,0.99,0
4440,101256,23.04,0.01,0.01,1.01,0
4480,101254,22.96,0.01,-0.01,1.02,0
4520,101251,22.91,0.01,-0.00,1.03,0
4560,101249,22.96,0.03,0.00,1.00,0
4600,101252,23.01,-0.01,-0.01,0.99,0
4640,101255,22.94,-0.01,-0.01,1.02,0
4680,101255,22.98,0.00,-0.00,1.02,0
4720,101245,22.99,-0.01,0.03,1.00,0
4760,101245,22.93,-0.01,0.02,0.98,0
4800,101252,22.98,-0.01,-0.00,1.00,0
4840,101248,22.94,0.00,0.03,1.01,0
4880,101252,22.95,0.01,-0.01,1.02,0
4920,101248,22.92,0.01,-0.01,1.02,0
4960,101248,23.04,0.00,0.00,1.00,0
5000,101247,23.05,0.01,-0.01,1.01,0
5040,101042,22.98,-0.00,-0.01,0.99,0
5080,100944,23.00,-0.00,-0.01,0.98,0
5120,100935,23.06,-0.01,0.00,0.98,0
5160,100909,23.05,-0.01,0.01,0.99,0
5200,100852,23.00,-0.01,-0.01,1.02,0
5240,100803,22.99,-0.01,-0.01,0.99,0
5280,100839,23.02,0.01,0.00,0.99,0
5320,100865,22.95,0.00,0.00,1.03,0
5360,100781,23.01,-0.02,0.01,0.99,0
5400,100587,22.99,-0.00,-0.03,1.00,0
5440,100399,23.03,0.02,-0.00,0.99,0
5480,100295,23.10,-0.00,-0.00,0.99,0
5520,100247,23.02,0.00,-0.01,0.99,0
5560,100174,23.10,-0.00,0.01,1.01,0
5600,100072,23.02,-0.00,-0.01,1.01,0
5640,100038,23.07,-0.00,0.02,0.98,0
5680,100094,23.08,0.00,-0.01,1.01,0
5720,100156,22.99,0.00,0.01,0.99,0
5760,100094,23.07,-0.00,0.00,1.01,0
5800,99941,23.04,0.00,-0.00,1.02,0
5840,99779,23.03,-0.02,-0.01,1.02,0
5880,99679,22.98,0.00,0.01,1.02,0
5920,99599,22.99,-0.00,0.01,1.01,0
5960,99477,23.03,-0.00,0.00,1.00,0
6000,99339,22.92,0.01,0.01,1.01,0
6040,99289,23.02,0.02,0.01,1.00,0
6080,99360,23.06,0.00,0.01,0.99,0
6120,99421,23.05,0.00,0.02,1.02,0
6160,99390,23.05,0.00,-0.01,1.01,0
6200,99264,22.92,0.02,0.01,1.01,0
6240,99159,23.00,-0.01,0.01,1.00,0
6280,99092,23.03,-0.01,-0.02,0.99,0
6800,98013,23.02,0.01,0.00,1.02,0
6800,98013,23.02,0.01,0.00,1.02,0
6840,97934,23.00,-0.01,0.01,1.00,0
6880,97958,23.04,-0.00,-0.00,1.00,0
6920,97974,23.01,0.01,-0.02,0.99,0
6960,97931,23.04,0.01,-0.01,1.00,0
7000,97882,23.02,-0.00,-0.01,1.00,0
7040,97897,22.94,0.02,0.02,0.98,0
7080,97912,22.91,-0.02,0.00,1.02,0
7120,97818,23.08,0.01,0.00,1.02,0
7160,97621,23.12,0.01,-0.02,0.99,0
7200,97428,22.95,0.01,0.00,0.98,0
7240,97336,23.09,0.01,0.01,1.01,0
7280,97314,23.05,-0.00,0.00,0.99,0
7320,97282,22.97,-0.00,0.02,1.00,0
