zaman_s,irtifa_m,olay
0.00,0,
0.05,0,
0.10,0,
0.15,0,
0.20,0,
0.25,0,
0.30,0,
0.35,0,
0.40,0,
0.45,0,
0.50,0,
0.55,0,
0.60,0,
0.65,0,
0.70,0,
0.75,0,
0.80,0,
0.85,0,
0.90,0,
0.95,0,
1.00,0,
1.05,0,
1.10,0,
1.15,0,
1.20,0,
1.25,0,
1.30,0,
1.35,0,
1.40,0,
1.45,0,
1.50,0,
1.55,0,
1.60,0,
1.65,0,
1.70,0,
1.75,0,
1.80,0,
1.85,0,
1.90,0,
1.95,0,
2.00,0,
2.05,0,
2.10,0,
2.15,0,
2.20,0,
2.25,0,
2.30,0,
2.35,0,
2.40,0,
2.45,0,
2.50,0,
2.55,0,
2.60,0,
2.65,0,
2.70,0,
2.75,0,
2.80,0,
2.85,0,
2.90,0,
2.95,0,
3.00,0,
3.05,0,
3.10,0,
3.15,0,
3.20,0,
3.25,0,
3.30,0,
3.35,0,
3.40,0,
3.45,0,
3.50,0,
3.55,0,
3.60,0,
3.65,0,
3.70,2,
3.75,4,
3.80,8,
3.85,13,
3.90,17,
3.95,22,
4.00,28,
4.05,34,
4.10,40,
4.15,47,
4.20,54,
4.25,61,
4.30,68,
4.35,75,
4.40,81,
4.45,88,
4.50,95,
4.55,103,
4.60,110,
4.65,118,
4.70,125,
4.75,132,
4.80,139,
4.85,146,
4.90,153,
4.95,160,
5.00,167,
5.05,175,
5.10,182,
5.15,189,
5.20,196,
5.25,202,
5.30,209,
5.35,216,
5.40,223,
5.45,231,
5.50,238,
5.55,245,
5.60,252,
5.65,259,
5.70,265,
5.75,272,
5.80,279,
5.85,286,
5.90,293,
5.95,300,
6.00,307,
6.05,314,
6.10,320,
6.15,326,
6.20,333,
6.25,340,
6.30,347,
6.35,354,
6.40,361,
6.45,368,
6.50,374,
6.55,380,
6.60,386,
6.65,393,
6.70,400,
6.75,407,
6.80,414,
6.85,421,
6.90,427,
6.95,433,
7.00,439,
7.05,446,
7.10,452,
7.15,459,
7.20,466,
7.25,472,
7.30,479,
7.35,485,
7.40,491,
7.45,497,
7.50,503,
7.55,510,
7.60,516,
7.65,523,
7.70,530,
7.75,536,
7.80,542,
7.85,548,
7.90,554,
7.95,560,
8.00,567,
8.05,573,
8.10,580,
8.15,586,
8.20,592,
8.25,598,
8.30,604,
8.35,609,
8.40,616,
8.45,622,
8.50,628,
8.55,635,
8.60,641,
8.65,647,
8.70,652,
8.75,658,
8.80,664,
8.85,670,
8.90,676,
8.95,683,
9.00,689,
9.05,695,
9.10,701,
9.15,706,
9.20,712,
9.25,717,
9.30,723,
9.35,730,
9.40,736,
9.45,742,
9.50,747,
9.55,753,
9.60,759,
9.65,764,
9.70,770,
9.75,776,
9.80,782,
9.85,788,
9.90,794,
9.95,799,
10.00,805,
10.05,810,
10.10,815,
10.15,821,
10.20,827,
10.25,833,
10.30,838,
10.35,844,
10.40,850,
10.45,855,
10.50,860,
10.55,865,
10.60,871,
10.65,877,
10.70,883,
10.75,889,
10.80,894,
10.85,899,
10.90,904,
10.95,910,
11.00,915,
11.05,920,
11.10,926,
11.15,932,
11.20,938,
11.25,943,
11.30,948,
11.35,953,
11.40,958,
11.45,963,
11.50,969,
11.55,974,
11.60,980,
11.65,985,
11.70,990,
11.75,995,
11.80,1000,
11.85,1005,
11.90,1010,
11.95,1016,
12.00,1021,
12.05,1026,
12.10,1032,
12.15,1037,
12.20,1041,
12.25,1046,
12.30,1051,
12.35,1056,
12.40,1062,
12.45,1067,
12.50,1073,
12.55,1078,
12.60,1082,
12.65,1087,
12.70,1091,
12.75,1096,
12.80,1102,
12.85,1107,
12.90,1112,
12.95,1118,
13.00,1122,
13.05,1127,
13.10,1131,
13.15,1136,
13.20,1141,
13.25,1146,
13.30,1151,
13.35,1156,
13.40,1161,
13.45,1166,
13.50,1170,
13.55,1175,
13.60,1179,
13.65,1184,
13.70,1189,
13.75,1194,
13.80,1199,
13.85,1204,
13.90,1209,
13.95,1213,
14.00,1217,
14.05,1222,
14.10,1227,
14.15,1232,
14.20,1237,
14.25,1242,
14.30,1246,
14.35,1250,
14.40,1254,
14.45,1259,
14.50,1263,
14.55,1268,
14.60,1273,
14.65,1278,
14.70,1283,
14.75,1287,
14.80,1291,
14.85,1295,
14.90,1300,
14.95,1304,
15.00,1309,
15.05,1314,
15.10,1319,
15.15,1323,
15.20,1327,
15.25,1331,
15.30,1336,
15.35,1340,
15.40,1344,
15.45,1349,
15.50,1354,
15.55,1358,
15.60,1363,
15.65,1367,
15.70,1371,
15.75,1374,
15.80,1379,
15.85,1383,
15.90,1388,
15.95,1392,
16.00,1397,
16.05,1401,
16.10,1405,
16.15,1409,
16.20,1413,
16.25,1417,
16.30,1422,
16.35,1426,
16.40,1430,
16.45,1435,
16.50,1439,
16.55,1442,
16.60,1446,
16.65,1450,
16.70,1454,
16.75,1459,
16.80,1463,
16.85,1468,
16.90,1472,
16.95,1475,
17.00,1479,
17.05,1483,
17.10,1487,
17.15,1491,
17.20,1495,
17.25,1500,
17.30,1504,
17.35,1508,
17.40,1511,
17.45,1515,
17.50,1519,
17.55,1522,
17.60,1527,
17.65,1531,
17.70,1536,
17.75,1539,
17.80,1543,
17.85,1547,
17.90,1550,
17.95,1554,
18.00,1558,
18.05,1562,
18.10,1566,
18.15,1570,
18.20,1574,
18.25,1578,
18.30,1581,
18.35,1584,
18.40,1588,
18.45,1592,
18.50,1596,
18.55,1600,
18.60,1604,
18.65,1608,
18.70,1611,
18.75,1614,
18.80,1618,
18.85,1622,
18.90,1625,
18.95,1630,
19.00,1634,
19.05,1637,
19.10,1641,
19.15,1644,
19.20,1647,
19.25,1651,
19.30,1654,
19.35,1658,
19.40,1663,
19.45,1666,
19.50,1670,
19.55,1673,
19.60,1676,
19.65,1680,
19.70,1683,
19.75,1687,
19.80,1691,
19.85,1695,
19.90,1698,
19.95,1702,
20.00,1705,
20.05,1708,
20.10,1711,
20.15,1714,
20.20,1718,
20.25,1722,
20.30,1725,
20.35,1729,
20.40,1733,
20.45,1735,
20.50,1738,
20.55,1742,
20.60,1745,
20.65,1748,
20.70,1752,
20.75,1756,
20.80,1760,
20.85,1763,
20.90,1765,
20.95,1769,
21.00,1772,
21.05,1775,
21.10,1779,
21.15,1783,
21.20,1786,
21.25,1789,
21.30,1792,
21.35,1795,
21.40,1798,
21.45,1801,
21.50,1804,
21.55,1808,
21.60,1812,
21.65,1815,
21.70,1818,
21.75,1821,
21.80,1824,
21.85,1826,
21.90,1830,
21.95,1833,
22.00,1837,
22.05,1840,
22.10,1843,
22.15,1846,
22.20,1849,
22.25,1852,
22.30,1855,
22.35,1858,
22.40,1861,
22.45,1865,
22.50,1868,
22.55,1871,
22.60,1874,
22.65,1876,
22.70,1879,
22.75,1882,
22.80,1885,
22.85,1889,
22.90,1892,
22.95,1896,
23.00,1898,
23.05,1901,
23.10,1903,
23.15,1906,
23.20,1909,
23.25,1912,
23.30,1916,
23.35,1919,
23.40,1922,
23.45,1925,
23.50,1927,
23.55,1930,
23.60,1932,
23.65,1935,
23.70,1939,
23.75,1942,
23.80,1945,
23.85,1948,
23.90,1951,
23.95,1953,
24.00,1955,
24.05,1958,
24.10,1961,
24.15,1964,
24.20,1967,
24.25,1971,
24.30,1973,
24.35,1976,
24.40,1978,
24.45,1980,
24.50,1983,
24.55,1986,
24.60,1989,
24.65,1993,
24.70,1996,
24.75,1998,
24.80,2000,
24.85,2003,
24.90,2005,
24.95,2008,
25.00,2011,
25.05,2014,
25.10,2017,
25.15,2020,
25.20,2022,
25.25,2024,
25.30,2027,
25.35,2029,
25.40,2032,
25.45,2035,
25.50,2038,
25.55,2041,
25.60,2043,
25.65,2046,
25.70,2048,
25.75,2050,
25.80,2052,
25.85,2056,
25.90,2059,
25.95,2061,
26.00,2064,
26.05,2067,
26.10,2069,
26.15,2071,
26.20,2073,
26.25,2076,
26.30,2078,
26.35,2081,
26.40,2084,
26.45,2087,
26.50,2089,
26.55,2091,
26.60,2093,
26.65,2096,
26.70,2098,
26.75,2101,
26.80,2103,
26.85,2106,
26.90,2108,
26.95,2111,
27.00,2113,
27.05,2115,
27.10,2117,
27.15,2120,
27.20,2123,
27.25,2126,
27.30,2128,
27.35,2130,
27.40,2132,
27.45,2134,
27.50,2136,
27.55,2138,
27.60,2141,
27.65,2144,
27.70,2147,
27.75,2149,
27.80,2151,
27.85,2153,
27.90,2155,
27.95,2157,
28.00,2160,
28.05,2162,
28.10,2165,
28.15,2167,
28.20,2170,
28.25,2172,
28.30,2173,
28.35,2175,
28.40,2177,
28.45,2180,
28.50,2182,
28.55,2185,
28.60,2188,
28.65,2190,
28.70,2192,
28.75,2193,
28.80,2196,
28.85,2197,
28.90,2200,
28.95,2203,
29.00,2205,
29.05,2208,
29.10,2209,
29.15,2211,
29.20,2213,
29.25,2215,
29.30,2217,
29.35,2220,
29.40,2222,
29.45,2225,
29.50,2227,
29.55,2229,
29.60,2231,
29.65,2232,
29.70,2234,
29.75,2236,
29.80,2239,
29.85,2242,
29.90,2244,
29.95,2246,
30.00,2248,
30.05,2249,
30.10,2250,
30.15,2252,
30.20,2255,
30.25,2257,
30.30,2260,
30.35,2262,
30.40,2264,
30.45,2265,
30.50,2267,
30.55,2269,
30.60,2271,
30.65,2273,
30.70,2275,
30.75,2278,
30.80,2280,
30.85,2282,
30.90,2283,
30.95,2285,
31.00,2287,
31.05,2289,
